wkt_geom,id,join_segment_id,join_length,distance
Point (121.03588088309268755 14.55546817324769293),,1000124237,0.0013,5.41E-05
Point (121.03582518257876188 14.55545469504867562),,1000124237,0.0013,2.84E-05
Point (121.03577876548381198 14.55544346321553206),,1000124237,0.0013,6.92E-06
Point (121.03572538582460538 14.55544121684884296),,1000124237,0.0013,2.59E-05
Point (121.03576948206480779 14.55540527497856651),,1000124237,0.0013,3.01E-05
Point (121.03582054086926689 14.55540527497856651),,1000124237,0.0013,6.31E-05
Point (121.03573002753410037 14.55535136216217751),,1000124237,0.0013,4.57E-05
Point (121.035667364455918 14.55537831857201958),,1000124237,0.0013,1.54E-05
Point (121.03566040189167552 14.55535136216217751),,1000124237,0.0013,6.49E-07
Point (121.03565808103692802 14.55532215938113083),,1000124237,0.0013,2.14E-05
Point (121.03559077624925067 14.55532665211692667),,1000124237,0.0013,2.53E-05
Point (121.03560005966822644 14.55527273928134058),,1000124237,0.0013,2.19E-05
Point (121.0355257923163208 14.55526375380744675),,1000124237,0.0013,1.90E-05
Point (121.03547473351187591 14.55520984095649162),,1000124237,0.0013,1.01E-05
Point (121.03542367470741681 14.55512897165535335),,1000124237,0.0013,2.15E-05
Point (121.03536333248398194 14.55512447891552519),,1000124237,0.0013,1.25E-05
Point (121.03530066940578536 14.55512672528545792),,1000124237,0.0013,5.32E-05
Point (121.03535172821024446 14.55508404425302871),,1000124237,0.0013,1.20E-05
Point (121.0352867442773146 14.55503237772904512),,1000124237,0.0013,1.21E-05
Point (121.03523568547285549 14.55506382691898182),,1000124237,0.0013,4.43E-05
Point (121.03553971744481998 14.5551761454179438),,1000124237,0.0013,5.70E-05
Point (121.03526353572982543 14.55497397207865795),,1000124237,0.0013,4.34E-05
Point (121.03519158923265309 14.55497172570718512),,1000124237,0.0013,4.54E-07
Point (121.03519158923265309 14.55501889950340022),,1000124237,0.0013,3.65E-05
Point (121.03516605983043064 14.55503013135815671),,1000124237,0.0013,6.12E-05
Point (121.03514749299246489 14.55496274022103798),,1000124237,0.0013,1.99E-05
Point (121.0350894716237633 14.55497621845010592),,1000124237,0.0013,6.65E-05
Point (121.03506626307628835 14.55491781278487196),,1000124237,0.0013,3.52E-05
Point (121.03501288341709596 14.55492455190088208),,1000124237,0.0013,7.37E-05
Point (121.03504073367405169 14.55486614622195773),,1000124237,0.0013,1.06E-05
Point (121.03499895828859678 14.55488411720174469),,1000124237,0.0013,5.07E-05
Point (121.03494557862939018 14.55486165347678629),,1000124237,0.0013,6.62E-05
Point (121.03489916153445449 14.55482795788508454),,1000124236,0.0029,6.96E-05
Point (121.03489916153445449 14.55479650866151076),,1000124236,0.0029,4.57E-05
Point (121.03491308666292525 14.55478303042146315),,1000124236,0.0029,2.64E-05
Point (121.0349502203389136 14.5547673058070437),,1000124236,0.0029,9.70E-06
