wkt_geom,segment_id,length
"LineString (121.03247829999999396 14.6521877000000007, 121.03158759999999461 14.65354499999999938)",1000290960,178.2126
"LineString (121.03158759999999461 14.65354499999999938, 121.03148090000000536 14.65370749999999944, 121.03131089999999404 14.6539666000000004)",1000290961,55.3577
"LineString (121.03131089999999404 14.6539666000000004, 121.0311650999999955 14.65418880000000001, 121.03036210000000494 14.6554044999999995)",1000290962,189.0977
"LineString (121.03036210000000494 14.6554044999999995, 121.03022210000000314 14.65561770000000053)",1000290963,27.9983
"LineString (121.03022210000000314 14.65561770000000053, 121.02998490000000231 14.65571869999999954, 121.02973470000000589 14.6558130000000002, 121.0294827999999967 14.65588540000000073)",1000290964,85.0817
"LineString (121.0294827999999967 14.65588540000000073, 121.0293300999999957 14.65593119999999949)",1000290965,17.2118
"LineString (121.0293300999999957 14.65593119999999949, 121.02926449999999647 14.6559462000000007)",1000290966,7.2588
"LineString (121.02926449999999647 14.6559462000000007, 121.02919880000000319 14.65596120000000013)",1000290967,7.2692
"LineString (121.02919880000000319 14.65596120000000013, 121.02913320000000397 14.65597619999999957)",1000290968,7.2588
"LineString (121.02913320000000397 14.65597619999999957, 121.02906760000000475 14.65599120000000077)",1000290969,7.2588
"LineString (121.02906760000000475 14.65599120000000077, 121.02900769999999397 14.65600710000000007)",1000290970,6.688
"LineString (121.02900769999999397 14.65600710000000007, 121.02894919999999956 14.65601990000000043)",1000290971,6.4588
"LineString (121.02894919999999956 14.65601990000000043, 121.02889059999999688 14.6560327000000008)",1000290972,6.4693
"LineString (121.02889059999999688 14.6560327000000008, 121.02883210000000247 14.65604549999999939)",1000290973,6.4588
"LineString (121.02883210000000247 14.65604549999999939, 121.02859719999999299 14.65609109999999937)",1000290974,25.8017
"LineString (121.02859719999999299 14.65609109999999937, 121.02735370000000614 14.65636950000000027)",1000290975,137.4465
"LineString (121.02735370000000614 14.65636950000000027, 121.02703830000000096 14.6564356999999994, 121.02693879999999638 14.65645660000000028, 121.02640710000000013 14.6565682000000006)",1000290976,104.3112
"LineString (121.02640710000000013 14.6565682000000006, 121.0262045999999998 14.65661700000000067)",1000290977,22.4717
"LineString (121.0262045999999998 14.65661700000000067, 121.02611190000000363 14.65663939999999954)",1000290978,10.2886
"LineString (121.02611190000000363 14.65663939999999954, 121.0260039000000063 14.65665289999999921)",1000290979,11.7293
"LineString (121.0260039000000063 14.65665289999999921, 121.02437150000000088 14.65699560000000012)",1000290980,179.8841
"LineString (121.02437150000000088 14.65699560000000012, 121.02415449999999453 14.6570412000000001)",1000290981,23.9136
"LineString (121.02415449999999453 14.6570412000000001, 121.02292350000000454 14.65729499999999952)",1000290982,135.5441
"LineString (121.02292350000000454 14.65729499999999952, 121.02249650000000258 14.6573758999999999)",1000290983,46.8593
"LineString (121.02249650000000258 14.6573758999999999, 121.02235840000000167 14.65740510000000008)",1000290984,15.2229
"LineString (121.02235840000000167 14.65740510000000008, 121.02199120000000221 14.65748259999999981)",1000290985,40.4735
"LineString (121.02199120000000221 14.65748259999999981, 121.02187250000000063 14.65750770000000003)",1000290986,13.0845
"LineString (121.02187250000000063 14.65750770000000003, 121.02163260000000378 14.65755829999999982)",1000290987,26.4415
"LineString (121.02163260000000378 14.65755829999999982, 121.02103590000000111 14.65768429999999967, 121.0204166999999984 14.65775140000000043, 121.01984219999999937 14.65777899999999967)",1000290988,194.8431
"LineString (121.01943459999999675 14.65779299999999985, 121.01941510000000335 14.6577933999999992, 121.01903430000000128 14.65778609999999915)",1000290992,43.1286
"LineString (121.05948709999999835 14.60133450000000011, 121.05910740000000203 14.60239810000000027, 121.05805049999999312 14.60466899999999946)",1000324916,400.455
"LineString (121.05805049999999312 14.60466899999999946, 121.05724789999999302 14.60646329999999971, 121.05710000000000548 14.60675849999999976, 121.05677230000000577 14.60751149999999932)",1000324917,343.3772
"LineString (121.05677230000000577 14.60751149999999932, 121.05582449999999994 14.60949330000000046)",1000324918,241.8893
"LineString (121.05342129999999656 14.61470240000000054, 121.05317549999999471 14.61515119999999968)",1000324925,56.2778
"LineString (121.05582449999999994 14.60949330000000046, 121.05565819999999633 14.6098151000000005)",1000324926,39.8597
"LineString (121.046830700000001 14.62897689999999962, 121.04644980000000487 14.62981000000000087)",1000324928,100.8999
"LineString (121.05449409999999943 14.6124054000000001, 121.05390420000000518 14.6136967999999996)",1000324956,156.3846
"LineString (121.05390420000000518 14.6136967999999996, 121.05378559999999766 14.61397380000000013)",1000324957,33.2057
"LineString (121.05364249999999515 14.61427270000000078, 121.05342129999999656 14.61470240000000054)",1000324960,53.1829
"LineString (121.04909829999999715 14.62411939999999966, 121.048747199999994 14.62489049999999935, 121.0483698999999973 14.62573459999999947)",1000324963,195.1855
"LineString (121.03944579999999576 14.64145030000000069, 121.03909590000000662 14.6419390000000007)",1000339272,65.9139
"LineString (121.00164100000000644 14.65746030000000033, 121.00066339999999343 14.65745259999999917)",1000346877,105.3103
"LineString (121.00066339999999343 14.65745259999999917, 121.0005079999999964 14.6574535000000008)",1000346878,16.74
"LineString (121.0483698999999973 14.62573459999999947, 121.04783609999999783 14.62680429999999987, 121.04754640000000165 14.62740639999999992)",1000356283,205.1571
"LineString (121.04754640000000165 14.62740639999999992, 121.04748720000000617 14.62753370000000075)",1000356284,15.4618
"LineString (121.04748720000000617 14.62753370000000075, 121.0474016000000006 14.62771779999999922)",1000356285,22.3601
"LineString (121.0474016000000006 14.62771779999999922, 121.04693589999999404 14.6287591999999993)",1000356286,125.675
"LineString (121.04693589999999404 14.6287591999999993, 121.046830700000001 14.62897689999999962)",1000356287,26.6206
"LineString (120.99926159999999697 14.65746069999999968, 120.99873909999999455 14.65745680000000029)",1000358005,56.2852
"LineString (120.99873909999999455 14.65745680000000029, 120.9984735000000029 14.65745480000000001)",1000358006,28.6112
"LineString (120.9984735000000029 14.65745480000000001, 120.99831960000000208 14.65745360000000019)",1000358007,16.5786
"LineString (120.99831960000000208 14.65745360000000019, 120.99785850000000664 14.65745880000000056)",1000358008,49.6729
"LineString (120.99785850000000664 14.65745880000000056, 120.99707580000000462 14.65744420000000048, 120.99673959999999795 14.65744169999999968)",1000358009,120.5442
"LineString (120.99673959999999795 14.65744169999999968, 120.99632080000000656 14.65743849999999959)",1000358010,45.1144
"LineString (120.99632080000000656 14.65743849999999959, 120.9955412999999993 14.65743349999999978)",1000358011,83.9694
"LineString (120.9955412999999993 14.65743349999999978, 120.99478170000000432 14.65742550000000044)",1000358012,81.8287
"LineString (120.99478170000000432 14.65742550000000044, 120.99402480000000537 14.65741599999999956)",1000358013,81.5399
"LineString (120.99402480000000537 14.65741599999999956, 120.99324009999999419 14.65741530000000026)",1000358014,84.5278
"LineString (120.99324009999999419 14.65741530000000026, 120.99307890000000043 14.65741410000000045)",1000358015,17.3649
"LineString (120.99307890000000043 14.65741410000000045, 120.9929074000000071 14.65741279999999946)",1000358016,18.4745
"LineString (120.9929074000000071 14.65741279999999946, 120.99243660000000489 14.65739650000000083)",1000358017,50.7465
"LineString (120.99243660000000489 14.65739650000000083, 120.99169910000000527 14.65739959999999975)",1000358018,79.4441
"LineString (120.99169910000000527 14.65739959999999975, 120.99091090000000293 14.65739469999999933)",1000358019,84.9065
"LineString (120.99091090000000293 14.65739469999999933, 120.99043969999999604 14.65739420000000059)",1000358020,50.7576
"LineString (120.99043969999999604 14.65739420000000059, 120.99016100000000051 14.65738149999999962)",1000358021,30.0544
"LineString (120.99016100000000051 14.65738149999999962, 120.98812809999999729 14.65737679999999976)",1000358022,218.9843
"LineString (120.98812809999999729 14.65737679999999976, 120.9875992999999994 14.65737619999999986)",1000358023,56.9623
"LineString (120.9875992999999994 14.65737619999999986, 120.98602619999999774 14.65736230000000084)",1000358024,169.461
"LineString (120.98602619999999774 14.65736230000000084, 120.98545839999999885 14.65735549999999954)",1000358025,61.1679
"LineString (120.98545839999999885 14.65735549999999954, 120.98427460000000622 14.65734070000000067)",1000358026,127.5293
